Title,Year,Id,Image
פרשת בחוקותי - אור החיים - הרב ניר,"תשע""ח",1UoVbBVLLdkDGgWDH1T0K-VjKcJDElJ5u,
פרשת ואתחנן ע''ז - הרב ניר,"תשע""ח",13QykY5wva5RKwkqOfcVH4ng9KHg1yS2Z,
פרשת נשא - המים הבוכים הרב ניר,"תשע""ח",16OzIEXU2ku_NXdkGyqblj6gBSwcbvO-W,
פרשת משפטים - הרב ניר,"תשע""ח",1iQWXHSgrVURxCPssKzFUUycptgauyaM_,
פרשת לך לך - נח הרב ניר,"תשע""ח",1FMSuoVqPNqZ40vUa_ZjzoRkLUq6z13Ye,
פרשת מטות-מסעי - הרב ניר,"תשע""ח",1D14G_Rz54NOwp9jAOFOOi50U-kVGCRYj,
פרשת כי - תבוא הרב ניר,"תשע""ח",1P1TF36FdPyt4LsyFpQvLdIksMrMxHAAs,
פרשת חקת עומק החיים - הרב ניר,"תשע""ח",1i6P5G2H8vKZJyphsSvGEcB59cRIqXYo6,
פרשת חיי שרה - הרב ניר,"תשע""ח",1u9t6U0gS-SEGF1l7jWzoDSSdiO3yswp6,
פרשת וירא - להאכיל את המלאכים הרב ניר,"תשע""ח",1C-GjHW2d3FzSIQZMsQqPdrBTjw0SomXu,
פרשת ויקרא - חטאת הרב ניר,"תשע""ח",1Mhghl8SKIOMhnCIh7pLNPd6yT-Z5nCge,
פרשת ויקהל - הרב ניר,"תשע""ח",1V2fMhM1KfUXZpoIC0UojudBE8wYtUBbx,
פרשת ויצא - הרב ניר,"תשע""ח",1_P0J1PZ-SwSMyI-jdUutK6upO0H8JWP_,
פרשת יתרו - כשט''ו בשבט פוגש את מתן תורה הרב ניר,"תשע""ח",1S48yf04CnNrh3Acl2uiHkgD3MUEXbbRh,
פרשת ויגש - יוסף ויהודה נקודת האמת הרב ניר,"תשע""ח",1vuyjlcq0ZVwE9iMVZ-J1XHMxUZ56j-u0,
פרשת בלק החיזוק הגדול מהרשע הגדול - הרב ניר,"תשע""ח",1sq4adzrB88WotcnjNfAy-1TbQXLjg-vM,
פרשת וארא - הרב ניר,"תשע""ח",1mMXMNJdMxtnA1GUO5kn_UJdcI4BZzxvr,
פרשת ויחי ועשרה בטבת - הרב ניר,"תשע""ח",1C-t1fIQM3AFyieyoe5HQqnR7L9puPeMu,
פרשת בראשית ונח - שאלות - הרב ניר,"תשע""ח",1zPP5DfBZ4BPE1TCRCTcEECTdxRYGGsZm,
פרשת בשלח - הרב ניר,"תשע""ח",1yQ6lir46PrHUi8EhEfa7Eq35DybPG3o0,
פרשת דברים (צער) - הרב ניר,"תשע""ח",1tcWcvSfxqtq0wJ6vh71onSzAm0nWGjk4,
פרשת בראשית ונח - הרב ניר,"תשע""ח",1xQnoWMDU60I80aWChtt0ylWA1Htwl4v_,
פרשת במדבר - פנים בהלכה הרב ניר,"תשע""ח",17CHXnU4thT_06oC-svN87afBKJovmRD9,
פרשת אחרי מות קדושים (עבודת הענן) - הרב ניר,"תשע""ח",1dTSBPFaK7BJhFgFhl1vx55LlnRh5Y5A3,
פרשת אמור - האור המבריק שבפנימיותינו הרב ניר,"תשע""ח",1BfhG0hqR4Et2oZomjTBSF7w5zxaKtQPq,
פרשת תזריע מצורע - משואה לתקומה הרב ניר,"תשע""ח",19kcMTUgI-WN8qit9d5kVi4gpPhIgwkau,
פרשת תצוה - הרב ניר,"תשע""ח",1YV0VRGpZ-HsJufKsL0XeCPjP7vQuVvWF,
פרשת בהעלותך - לינוק מנבואת המשיח הרב ניר,"תשע""ח",1HasxXrSVBhraKIqjcDhxcWdyiKzzcADF,
